id,audienceScore,tomatoMeter,runtimeMinutes,genre,kmeans_cluster
10011984-last_song,65.0,21.0,108.0,Drama,2
10012014-babies,62.0,68.0,79.0,Documentary,0
10012039-lottery_ticket,44.0,34.0,99.0,Comedy,2
10012042-going_the_distance,52.0,54.0,98.0,"Romance, Comedy",2
10012044-life_as_we_know_it,61.0,30.0,113.0,"Romance, Comedy",2
10012051-frozen,47.0,63.0,93.0,"Mystery & thriller, Horror",2
10012058-prodigal_sons,79.0,87.0,86.0,Documentary,0
10012063-ghost_writer,70.0,84.0,129.0,"Drama, Mystery & thriller",1
10012068-repo_men,41.0,21.0,111.0,"Sci-fi, Action, Mystery & thriller",2
10012104-7_days,68.0,80.0,105.0,"Mystery & thriller, Horror, Crime, Drama",0
10012133-veer,48.0,40.0,156.0,"History, Drama, Romance",1
10012136-winters_bone,76.0,94.0,99.0,Drama,0
10012141-kids_are_all_right,74.0,92.0,104.0,"Comedy, Drama, Lgbtq+",0
10012147-lucky,39.0,60.0,90.0,Documentary,2
10012150-high_school,48.0,28.0,99.0,Comedy,2
10012207-stolen,39.0,0.0,97.0,Mystery & thriller,2
10012213-welcome,86.0,87.0,109.0,Drama,0
10012232-killing_jar,35.0,0.0,90.0,Mystery & thriller,2
10012254-la_mission,72.0,50.0,117.0,"Drama, Lgbtq+",1
10012264-stonewall,77.0,84.0,82.0,Documentary,0
10012282-oath,79.0,88.0,90.0,Documentary,0
10012288-wild_hunt,74.0,82.0,96.0,"Drama, Mystery & thriller",0
1001240-arthur,77.0,89.0,97.0,Comedy,0
10012426-lottery,76.0,64.0,81.0,Drama,0
1001280-assault_on_precinct_13,80.0,96.0,91.0,Action,0
1001294-asylum,50.0,67.0,88.0,"Horror, Mystery & thriller",0
1001323-attack_of_the_50_foot_woman,21.0,69.0,66.0,Sci-fi,2
1001406-avenging_angel,25.0,33.0,93.0,"Crime, Drama",2
1001425-aviator,43.0,20.0,98.0,Adventure,2
1001428-awakening,23.0,0.0,102.0,Horror,2
1001488-babes_in_toyland,59.0,36.0,106.0,"Kids & family, Holiday, Musical",2
1001526-bachelor_party,56.0,54.0,106.0,Comedy,2
