id,audienceScore,tomatoMeter,runtimeMinutes,genre,kmeans_cluster
10008938-turnabout,25.0,20.0,83.0,Comedy,2.0
10008954-untraceable,52.0,16.0,101.0,"Mystery & thriller, Crime, Drama",2.0
10008991-informers,18.0,12.0,98.0,"Crime, Drama, Mystery & thriller",2.0
10008992-meeting_resistance,47.0,82.0,84.0,Documentary,0.0
10009001-the_freshman,61.0,94.0,102.0,Comedy,0.0
10009002-actresses,44.0,50.0,107.0,"Comedy, Drama",2.0
10009005-a_bloody_aria,40.0,42.0,115.0,"Drama, Horror, Mystery & thriller",2.0
10009020,,,97.0,Drama,
10009039-darling,36.0,,126.0,"Horror, Romance, Mystery & thriller",
10009049-noodle,91.0,100.0,90.0,Drama,0.0
10009055-rocker,46.0,41.0,102.0,Comedy,2.0
10009059-bikini_bloodbath,30.0,,71.0,Comedy,
10009063-perfect_holiday,52.0,19.0,96.0,"Kids & family, Holiday, Romance",2.0
10009066-la_graine_et_le_mulet,76.0,93.0,151.0,Drama,1.0
10009083-land_of_the_lost,32.0,26.0,102.0,"Comedy, Adventure",2.0
10009090-lynch,68.0,58.0,,,
10009105-between_two_worlds,71.0,,112.0,Fantasy,
10009113-spin,100.0,,,,
10009132-rec,82.0,90.0,78.0,"Horror, Mystery & thriller",0.0
10009134-werewolf,23.0,,83.0,Horror,
10009138-look,56.0,60.0,98.0,Drama,2.0
10009146-headless_horseman,20.0,,96.0,"Horror, Mystery & thriller",
10009149-arranged,,,,,
1000915-and_god_created_woman,32.0,38.0,98.0,Drama,2.0
10009151-box,24.0,43.0,113.0,"Horror, Sci-fi, Mystery & thriller",2.0
10009153-bathory,49.0,,138.0,"Drama, Fantasy, History",
10009154-hero_wanted,33.0,,95.0,"Mystery & thriller, Crime, Drama",
10009155-rage,20.0,,99.0,Horror,
10009169-man_in_the_chair,68.0,50.0,109.0,"Comedy, Drama",0.0
10009172-undoing,25.0,31.0,90.0,Drama,2.0
10009176-black_water,40.0,80.0,90.0,Mystery & thriller,0.0
10009186-skippy,59.0,86.0,85.0,"Comedy, Drama",0.0
10009192-21,66.0,36.0,122.0,Drama,1.0
10009193-knee_deep,,,,,
10009210-duchess_of_langeais,52.0,70.0,137.0,"History, Drama, Romance",1.0
10009212-ben_x,80.0,69.0,93.0,Drama,0.0
10009220-welcome,62.0,,152.0,"Romance, Comedy",
10009225-body_of_lies,62.0,55.0,128.0,"Drama, Mystery & thriller, Action",1.0
10009228-possession,29.0,,86.0,Mystery & thriller,
10009239-passengers,35.0,19.0,92.0,"Mystery & thriller, Drama, Romance",2.0
10009244-the_grand,43.0,40.0,104.0,Comedy,2.0
